Id;Stanice;TUDU;Km;GPS
148;Solnice;1311C1;15.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.253959722254,50.2043255554305,'null'),'null','null')
149;Solnice zast·vka;131106;14.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2561591667599,50.2002961111069,'null'),'null','null')
150;Rychnov n.KnÏû.;1311B1;8.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2740336110857,50.1573444445928,'null'),'null','null')
151;Rychnov n.Kn.zast.;131104;9.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2707683332761,50.1663722218408,'null'),'null','null')
152;Slemeno;131102;5.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2420755555895,50.1469238885244,'null'),'null','null')
153;Rokytnice v Orl.h.;1321E1;19.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4665875000424,50.1600433328417,'null'),'null','null')
155;Vamberk;1321B1;2.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2805391671922,50.1163858328925,'null'),'null','null')
156;Slatina n.ZdobnicÌ;1321C1;10.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.377078332901,50.1368461110857,'null'),'null','null')
157;Rybn· n.ZdobnicÌ;132104;7.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3431463887956,50.1274469439189,'null'),'null','null')
158;Peklo n.ZdobnicÌ;132104;4.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3056730556488,50.1220630555683,'null'),'null','null')
159;Opatov;2002M1;235.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4879058334563,49.8130011113485,'null'),'null','null')
160;SemanÌn;200226;239.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4738827779558,49.8442211108738,'null'),'null','null')
161;Svitavy;2002L1;229.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4795391665565,49.7586377779643,'null'),'null','null')
162;Svitavy-LaËnov;200224;233.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4869711110327,49.7921683332655,'null'),'null','null')
163;Svitavy zast.;201120;2.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4550125000212,49.7635088888804,'null'),'null','null')
164;Pardubice-Ros.n.L.;1612A3;2.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7429144446055,50.0448497221205,'null'),'null','null')
165;Pardubice z·vodiö.;161122;90;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7509191666709,50.0245094442368,'null'),'null','null')
